Sample in Buffer,Sample in Window,TRIGGER,m_axi_awvalid_0,m_axi_awready[0:0],m_axi_awaddr_o[0][31:0],m_axi_awprot_o[0][2:0],m_axi_wvalid_0,m_axi_wready_1[0:0],m_axi_wdata_o[0][31:0],m_axi_wstrb_o[0][3:0],m_axi_bvalid_1[0:0],m_axi_bready_0,m_axi_arvalid_0,m_axi_arready_1[0:0],m_axi_araddr_o[0][31:0],m_axi_arprot_o[0][2:0],m_axi_rvalid_1[0:0],m_axi_rready_0,m_axi_rdata_o[0][31:0],m_axi_awvalid_1,m_axi_awready_1[1:1],m_axi_awaddr_o[1][31:0],m_axi_awprot_o[1][2:0],m_axi_wvalid_1,m_axi_wready[1:1],m_axi_wdata_o[1][31:0],m_axi_wstrb_o[1][3:0],m_axi_bvalid[1:1],m_axi_bready_1,m_axi_arvalid_1,m_axi_arready[1:1],m_axi_araddr_o[1][31:0],m_axi_arprot_o[1][2:0],m_axi_rvalid[1:1],m_axi_rready_1,m_axi_rdata_o[1][31:0],RST_IBUF,GPIO_PinIn[31:0],GPIO_PinOut[31:0],GPIO_Rx[31:0],GPIO_Tx[31:0],GPIO_Strength[31:0],GPIO_Pulldown[31:0],GPIO_Pullup[31:0],PROGADDR_IRQ[31:0]
66,66,0,0,0,00000584,0,0,0,00000000,0,0,0,0,1,00000584,4,0,1,00b52023,0,0,00000000,0,0,0,00000000,f,0,0,0,0,00000000,0,0,0,00000000,1,00000002,00000000,00000002,00000001,00000000,00000000,00000000,0000059b
67,67,0,0,0,00000584,0,0,0,00000000,0,0,0,0,1,00000584,4,0,1,00b52023,0,0,00000000,0,0,0,00000000,f,0,0,0,0,00000000,0,0,0,00000000,1,00000002,00000000,00000002,00000001,00000000,00000000,00000000,0000059b
68,68,0,0,0,00000584,0,0,0,00000000,0,0,0,0,1,00000584,4,0,1,00b52023,0,0,00000000,0,0,0,00000000,f,0,0,0,0,00000000,0,0,0,00000000,1,00000002,00000000,00000002,00000001,00000000,00000000,00000000,0000059b
69,69,0,0,0,00000584,0,0,0,00000000,0,0,0,0,1,00000584,4,0,1,00b52023,0,0,00000000,0,0,0,00000000,f,0,0,0,0,00000000,0,0,0,00000000,1,00000002,00000000,00000002,00000001,00000000,00000000,00000000,0000059b
70,70,0,0,0,00000584,0,0,0,00000000,0,0,0,0,1,00000584,4,0,1,00b52023,0,0,00000000,0,0,0,00000000,f,0,0,0,0,00000000,0,0,0,00000000,1,00000002,00000000,00000002,00000001,00000000,00000000,00000000,0000059b
71,71,0,0,0,00000584,0,0,0,00000000,0,0,0,0,1,00000584,4,0,1,00b52023,0,0,00000000,0,0,0,00000000,f,0,0,0,0,00000000,0,0,0,00000000,1,00000002,00000000,00000002,00000001,00000000,00000000,00000000,0000059b
72,72,0,0,0,00000584,0,0,0,00000000,0,0,0,0,1,00000584,4,0,1,00b52023,0,0,00000000,0,0,0,00000000,f,0,0,0,0,00000000,0,0,0,00000000,1,00000002,00000000,00000002,00000001,00000000,00000000,00000000,0000059b
73,73,0,0,0,00000584,0,0,0,00000000,0,0,0,0,1,00000584,4,0,1,00b52023,0,0,00000000,0,0,0,00000000,f,0,0,0,0,00000000,0,0,0,00000000,1,00000002,00000000,00000002,00000001,00000000,00000000,00000000,0000059b
74,74,0,0,0,00000584,0,0,0,00000000,0,0,0,0,1,00000584,4,0,1,00b52023,0,0,00000000,0,0,0,00000000,f,0,0,0,0,00000000,0,0,0,00000000,1,00000002,00000000,00000002,00000001,00000000,00000000,00000000,0000059b
75,75,0,0,0,00000584,0,0,0,00000000,0,0,0,0,1,00000584,4,0,1,00b52023,0,0,00000000,0,0,0,00000000,f,0,0,0,0,00000000,0,0,0,00000000,1,00000002,00000000,00000002,00000001,00000000,00000000,00000000,0000059b
